POIID,POIName,Telno,Address,X,Y,Yunlin_Town,Source,FaxNo,OP_DAY,OP_TIME,SpecialStore_Kind,廁所,ANKER,ATM,BEAMS DESIGN,BEAMS DESIGN專區,CITY系列熱燕麥飲,EC自助取件,K·Seren,Mister Donut甜甜圈,OPEN Bar,OPEN iECO循環杯,OPEN! PLAZA專櫃,OPEN! STORE,Watts均一價59元,gogoro,ibon,ibon WiFi,不可思議咖啡,停車場,冷凍交貨便,千禧血壓站,博客來,原賞熱壓土司,哈燒,嚴選素材冷凍鮮物,天素地蔬,天素地蔬複合店,寵物生活專區,座位區,思樂冰,所長茶葉蛋,拋棄式隱形眼鏡,特選咖啡,現烤地瓜,現萃茶,現蒸地瓜,瓜地馬拉豆,甜點專櫃,生鮮蔬菜,精品咖啡,精品威士忌咖啡,精品秤重散糖,糖果屋,美妝,自助微波,茶BAR(多元複合),蒸玉米,蒸食機,藥商執照(快篩試劑),行動電源租賃,超值酒藏,酷聖石霜淇淋,雪淋霜霜淇淋,霹靂DVD,饗喫鍋,高效智慧回收機,黃金滷蛋,Store_URL
943747,和心,(05)5866552,雲林縣西螺鎮河南里埔心路113-3號,120.442275,23.798148,西螺鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5866652,,24H,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,
280350,坤麟,(05)5339597,雲林縣斗六市社口里大學路二段579號,120.542481,23.697562,斗六市,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5362557,,06:00 ~ 23:59,,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0,1,
182993,宗聖,(05)7839703,雲林縣北港鎮大同路511-1號,120.29307,23.574294,北港鎮,7-ELEVEN E-Map / EMapSDK SearchStore,,,24H,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,
982650,宜梧,(05)7905080,雲林縣口湖鄉梧南村光明路31號1樓,120.191301,23.546069,口湖鄉,7-ELEVEN E-Map / EMapSDK SearchStore,(05)7907601,,24H,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,
238544,昕美,(05)5334310,雲林縣斗六市民生路170號,120.542269,23.711781,斗六市,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5335584,,24H,,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,
255273,東禾,(05)5266956,雲林縣古坑鄉東和村文化路145號,120.567367,23.68505,古坑鄉,7-ELEVEN E-Map / EMapSDK SearchStore,,,24H,,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,
113296,東宇,(05)5343868,雲林縣斗六市文化路538號540號1樓,120.557674,23.712807,斗六市,7-ELEVEN E-Map / EMapSDK SearchStore,(05)5332301,,24H,,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,1,
260541,東南,(05)5876546,雲林縣西螺鎮東南路277號1樓,120.449443,23.80207,西螺鎮,7-ELEVEN E-Map / EMapSDK SearchStore,,,06:00 ~ 23:59,,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,
174246,東尊,(05)6226384,雲林縣虎尾鎮惠來里142-3號,120.489568,23.72355,虎尾鎮,7-ELEVEN E-Map / EMapSDK SearchStore,,,24H,,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,
260194,東億,(05)6324884,雲林縣虎尾鎮光復路2號,120.454494,23.705074,虎尾鎮,7-ELEVEN E-Map / EMapSDK SearchStore,(05)6324398,,24H,,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,1,
