編號,行政區,商家名稱,入選品名,商家地址,X,Y,相關網站,營業時間,經緯度座標,推薦來源,備註
102,西螺鎮,琴連碗粿城,西螺米碗粿,648雲林縣西螺鎮延平路75號,120.460813,23.801642,https://tour.yunlin.gov.tw/,週一至週日 06:30–17:30,"23.801642, 120.460813",漫遊雲林網站推薦,
103,西螺鎮,西螺三角大水餃,三角大水餃,648雲林縣西螺鎮觀音街12號,120.461320,23.800215,https://tour.yunlin.gov.tw/,10:00–17:00 (週一、週四休),"23.800215, 120.461320",漫遊雲林網站推薦,
104,褒忠鄉,泉威布丁豆花,三色布丁豆花,634雲林縣褒忠鄉中正路282號,120.310120,23.693850,https://tour.yunlin.gov.tw/,週一至週日 09:00–21:00,"23.693850, 120.310120",漫遊雲林網站推薦,
105,褒忠鄉,阿桂竹仔腳碗粿,加蛋古早味碗粿,634雲林縣褒忠鄉南生路11-1號,120.311540,23.692410,https://tour.yunlin.gov.tw/,週一至週日 06:00–12:00,"23.692410, 120.311540",漫遊雲林網站推薦,
106,褒忠鄉,和香珍喜餅,蒜頭酥、古早味牛舌餅,634雲林縣褒忠鄉中正路208號,120.311890,23.694210,https://tour.yunlin.gov.tw/,週一至週日 08:00–21:00,"23.694210, 120.311890",漫遊雲林網站推薦,
107,斗六市,番薯仔炊仔飯,炊仔飯、炊蛋,640雲林縣斗六市中正路89號,120.543210,23.708154,https://tour.yunlin.gov.tw/,週一至週五 09:00–13:00 (週末休),"23.708154, 120.543210",漫遊雲林網站推薦,
108,斗六市,老街碗粿,古早味碗粿、蛋飯,640雲林縣斗六市太平路122號,120.544150,23.708892,https://tour.yunlin.gov.tw/,"10:30–14:20, 16:30–19:20 (週日休)","23.708892, 120.544150",漫遊雲林網站推薦,
109,斗六市,阿賜豬腳飯,招牌豬腳飯,640雲林縣斗六市公正街23號,120.541280,23.710150,https://tour.yunlin.gov.tw/,16:00–22:00 (週六休),"23.710150, 120.541280",漫遊雲林網站推薦,
110,斗六市,青食 Green Food,青食四重奏,640雲林縣斗六市永昌西街46號,120.538940,23.705120,https://tour.yunlin.gov.tw/,"平日11:00–15:00, 17:00–21:00 / 假日11:00–21:00","23.705120, 120.538940",漫遊雲林網站推薦,
111,斗六市,長興圓仔冰,綜合圓仔冰、綜合燒麻糬,640雲林縣斗六市中華路136號,120.542981,23.707812,https://tour.yunlin.gov.tw/,週一至週日 11:00–21:30,"23.707812, 120.542981",漫遊雲林網站推薦,
112,虎尾鎮,魯香香黃金樂排專賣店,黃金魯肋排飯,632雲林縣虎尾鎮光復路348號,120.432850,23.706421,https://tour.yunlin.gov.tw/,"週一至週日 10:30–14:30, 16:30–20:00","23.706421, 120.432850",漫遊雲林網站推薦,
113,北港鎮,北港保生堂漢方咖啡館,漢方養生咖啡、御膳金箔滷肉飯,651雲林縣北港鎮中山路61號,120.304560,23.567120,https://tour.yunlin.gov.tw/,週一至週日 11:00–19:00 (週三休),"23.567120, 120.304560",漫遊雲林網站推薦,
114,北港鎮,金捷發煎盤粿,綜合煎盤粿 (粿、米腸、香腸、滷大腸),651雲林縣北港鎮中山路80號,120.304890,23.566850,https://tour.yunlin.gov.tw/,週二至週日 06:00–11:30 (週一休),"23.566850, 120.304890",漫遊雲林網站推薦,
115,水林鄉,阿龍傳統小吃,招牌雞魯飯、紅燒草魚麵,652雲林縣水林鄉水林路72號,120.245890,23.573120,https://tour.yunlin.gov.tw/,24小時營業,"23.573120, 120.245890",漫遊雲林網站推薦,
